Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT4G05180,PsbQ2,light reaction,AT4G05180.1,photosystem II subunit Q-2,Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II.,photosystem II subunit Q-2 (PSBQ-2); FUNCTIONS IN: calcium ion binding; INVOLVED IN: peptidyl-cysteine S-nitrosylation; LOCATED IN: in 9 components; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II oxygen evolving complex protein PsbQ (InterPro:IPR008797); BEST Arabidopsis thaliana protein match is: photosystem II subunit QA (TAIR:AT4G21280.1); Has 206 Blast hits to 206 proteins in 40 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 200; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).,PSII-Q,---
AT1G79040,PsbR,light reaction,AT1G79040.1,photosystem II subunit R,"Encodes for the 10 kDa PsbR subunit of photosystem II (PSII). This subunit appears to be involved in the stable assembly of PSII, particularly that of the oxygen-evolving complex subunit PsbP. Mutants defective in this gene have reduced amounts of subunits PsbP and PsbQ in PSII. In turn, assembly of PsbR is dependent on the presence of PsbJ.","photosystem II subunit R (PSBR); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II oxygen evolving complex assembly, photosynthesis, response to light intensity; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, photosystem II; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbR (InterPro:IPR006814); Has 134 Blast hits to 134 proteins in 52 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).",PSBR,photosystem II subunit R
AT1G44575,PsbS,light reaction,AT1G44575.2,Chlorophyll A-B binding family protein,"Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation.","NONPHOTOCHEMICAL QUENCHING 4 (NPQ4); FUNCTIONS IN: chlorophyll binding, xanthophyll binding; INVOLVED IN: response to karrikin, nonphotochemical quenching; LOCATED IN: chloroplast thylakoid membrane, chloroplast, PSII associated light-harvesting complex II, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",PSBS,PHOTOSYSTEM II SUBUNIT S
ATCG00690,psbT,light reaction,ATCG00690.1,photosystem II reaction center protein T,Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn).,"photosystem II reaction center protein T (PSBT); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast thylakoid membrane, photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbT (InterPro:IPR001743).",PSBTC,---
AT2G30570,PsbW,light reaction,AT2G30570.1,photosystem II reaction center W,Encodes a protein similar to photosystem II reaction center subunit W.,"photosystem II reaction center W (PSBW); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbW, class 2 (InterPro:IPR009806); Has 77 Blast hits to 77 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 74; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).",PSBW,photosystem II reaction center W
AT2G06520,PsbX,light reaction,AT2G06520.1,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,photosystem II subunit X (PSBX); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbX (InterPro:IPR009518); Has 63 Blast hits to 63 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,PSBX,photosystem II subunit X
AT1G67740,PsbY,light reaction,AT1G67740.1,photosystem II BY,PsbY precursor (psbY) mRNA. This single nuclear gene is imported into the chloroplasts where it is processed into two integral membrane proteins with identical topology (PsbY-1 and PsbY-2). The protein appears to bind manganese but its role is not well understood.,"photosystem II BY (PSBY); FUNCTIONS IN: manganese ion binding; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast stromal thylakoid, chloroplast thylakoid membrane, chloroplast photosystem II, photosystem II; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbY (InterPro:IPR009388); Has 135 Blast hits to 91 proteins in 24 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 133; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",YCF32,---
ATCG00300,psbZ,light reaction,ATCG00300.1,YCF9,"encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.","YCF9; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast photosystem II; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbZ (InterPro:IPR002644).",YCF9,---
AT1G03600,Psb27,light reaction,AT1G03600.1,photosystem II family protein,---,"PSB27; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II repair; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast photosystem II, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 273 Blast hits to 273 proteins in 82 species: Archae - 0; Bacteria - 114; Metazoa - 0; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 96 (source: NCBI BLink).",PSB27,---
AT4G28660,Psb28,light reaction,AT4G28660.2,photosystem II reaction center PSB28 protein,Similar to PsbW subunit of photosystem II.,"photosystem II reaction center PSB28 protein (PSB28); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, photosystem II reaction center; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein Psb28, class 1 (InterPro:IPR005610).",PSB28,photosystem II reaction center PSB28 protein
AT1G05385,PSB27-H1,light reaction,AT1G05385.1,photosystem II 11 kDa protein-related,Encodes a Psb27 homolog involved in photosystem II biogenesis.,"LOW PSII ACCUMULATION 19 (LPA19); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosystem II assembly; LOCATED IN: chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 214 Blast hits to 214 proteins in 55 species: Archae - 0; Bacteria - 73; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 69 (source: NCBI BLink).",Psb27-H1,---
AT5G01530,Lhcb4.1,light reaction,AT5G01530.1,light harvesting complex photosystem II,---,"light harvesting complex photosystem II (LHCB4.1); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",LHCB4.1,light harvesting complex photosystem II
AT3G08940,Lhcb4.2,light reaction,AT3G08940.2,light harvesting complex photosystem II,"Lhcb4.2 protein (Lhcb4.2, protein involved in the light harvesting complex of photosystem II","light harvesting complex photosystem II (LHCB4.2); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, membrane, chloroplast envelope; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT5G01530.1); Has 2312 Blast hits to 2241 proteins in 218 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 1976; Viruses - 0; Other Eukaryotes - 332 (source: NCBI BLink).",LHCB4.2,light harvesting complex photosystem II
AT2G40100,Lhcb4.3,light reaction,AT2G40100.2,light harvesting complex photosystem II,"Lhcb4:3 protein (Lhcb4.3, light harvesting complex of photosystem II",light harvesting complex photosystem II (LHCB4.3); CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: light harvesting complex photosystem II (TAIR:AT3G08940.2).,LHCB4.3,light harvesting complex photosystem II
AT4G10340,Lhcb5,light reaction,AT4G10340.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,"light harvesting complex of photosystem II 5 (LHCB5); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: response to blue light, response to red light, response to far red light, photosynthesis, nonphotochemical quenching; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: chlorophyll A/B binding protein 1 (TAIR:AT1G29930.1); Has 2360 Blast hits to 2295 proteins in 226 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 2013; Viruses - 0; Other Eukaryotes - 343 (source: NCBI BLink).",LHCB5,light harvesting complex of photosystem II 5
AT1G15820,Lhcb6,light reaction,AT1G15820.1,light harvesting complex photosystem II subunit 6,"Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.","light harvesting complex photosystem II subunit 6 (LHCB6); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chlorophyll A-B binding protein (InterPro:IPR001344); BEST Arabidopsis thaliana protein match is: photosystem I light harvesting complex gene 6 (TAIR:AT1G19150.1); Has 2316 Blast hits to 2191 proteins in 220 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 1959; Viruses - 0; Other Eukaryotes - 355 (source: NCBI BLink).",LHCB6,light harvesting complex photosystem II subunit 6
ATCG00540,petA,light reaction,ATCG00540.1,photosynthetic electron transfer A,Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.,"photosynthetic electron transfer A (PETA); FUNCTIONS IN: electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity; INVOLVED IN: photosynthetic electron transport in cytochrome b6/f; LOCATED IN: thylakoid, chloroplast thylakoid membrane, cytochrome b6f complex, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome f (InterPro:IPR002325), Rudiment single hybrid motif (InterPro:IPR011054).",PETA,photosynthetic electron transfer A
ATCG00720,petB,light reaction,ATCG00720.1,photosynthetic electron transfer B,Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.,"photosynthetic electron transfer B (PETB); FUNCTIONS IN: heme binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: thylakoid, chloroplast thylakoid membrane, cytochrome b6f complex, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b/b6 (InterPro:IPR016175), Di-haem cytochrome, transmembrane (InterPro:IPR016174), Cytochrome b/b6, N-terminal (InterPro:IPR005797); BEST Arabidopsis thaliana protein match is: apocytochrome b (TAIR:ATMG00220.1).",PETB,photosynthetic electron transfer B
AT4G03280,PetC,light reaction,AT4G03280.2,photosynthetic electron transfer C,Encodes the Rieske FeS center of cytochrome b6f complex. Gene is expressed in shoot but not in root. Mutant has reduced electron transport at saturating light intensities and Q-cycle activity is hypersensitive to acidification of the thylakoid lumen.,"photosynthetic electron transfer C (PETC); FUNCTIONS IN: electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity; INVOLVED IN: response to karrikin, defense response to bacterium, photosynthetic electron transport in cytochrome b6/f, nonphotochemical quenching; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Rieske [2Fe-2S] iron-sulphur domain (InterPro:IPR017941), Rieske iron-sulphur protein, C-terminal (InterPro:IPR005805), Cytochrome b6-f complex Fe-S subunit (InterPro:IPR014909), Rieske iron-sulphur protein (InterPro:IPR014349); BEST Arabidopsis thaliana protein match is: Ubiquinol-cytochrome C reductase iron-sulfur subunit (TAIR:AT5G13430.1); Has 5376 Blast hits to 5368 proteins in 1325 species: Archae - 24; Bacteria - 2829; Metazoa - 295; Fungi - 164; Plants - 410; Viruses - 0; Other Eukaryotes - 1654 (source: NCBI BLink).",PGR1,PROTON GRADIENT REGULATION 1
ATCG00730,petD,light reaction,ATCG00730.1,photosynthetic electron transfer D,A chloroplast gene encoding subunit IV of the cytochrome b6/f complex,"photosynthetic electron transfer D (PETD); FUNCTIONS IN: electron carrier activity, oxidoreductase activity, electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: thylakoid, chloroplast thylakoid membrane, cytochrome b6f complex, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b/b6 (InterPro:IPR016175), Cytochrome b/b6, C-terminal (InterPro:IPR005798), Cytochrome b6/f complex, subunit IV (InterPro:IPR005870); BEST Arabidopsis thaliana protein match is: apocytochrome b (TAIR:ATMG00220.1).",PETD,photosynthetic electron transfer D
AT1G76100,PetE1,light reaction,AT1G76100.1,plastocyanin 1,One of two Arabidopsis plastocyanin genes. Expressed at 1/10th level of PETE2. Does not respond to increased copper levels and is thought to be the isoform that participates in electron transport under copper-limiting conditions.,"plastocyanin 1 (PETE1); FUNCTIONS IN: electron carrier activity, copper ion binding; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Blue (type 1) copper protein (InterPro:IPR001235), Cupredoxin (InterPro:IPR008972), Plastocyanin (InterPro:IPR002387), Blue (type 1) copper domain (InterPro:IPR000923); BEST Arabidopsis thaliana protein match is: Cupredoxin superfamily protein (TAIR:AT1G20340.1); Has 1305 Blast hits to 1299 proteins in 244 species: Archae - 140; Bacteria - 448; Metazoa - 0; Fungi - 0; Plants - 204; Viruses - 5; Other Eukaryotes - 508 (source: NCBI BLink).",PETE1,plastocyanin 1
AT1G20340,PetE2,light reaction,AT1G20340.1,Cupredoxin superfamily protein,"recombination and DNA-damage resistance protein (DRT112)  One of two Arabidopsis plastocyanin genes. Predominant form, expressed 10x higher than PETE1. PETE2 is thought to be post-transcriptionally regulated via copper accumulation and is involved in copper homeostasis.","DNA-DAMAGE-REPAIR/TOLERATION PROTEIN 112 (DRT112); FUNCTIONS IN: electron carrier activity, copper ion binding; INVOLVED IN: response to UV, response to chemical stimulus, copper ion homeostasis, negative regulation of translation, response to copper ion; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid lumen, chloroplast stroma, chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Blue (type 1) copper protein (InterPro:IPR001235), Cupredoxin (InterPro:IPR008972), Plastocyanin (InterPro:IPR002387), Blue (type 1) copper domain (InterPro:IPR000923); BEST Arabidopsis thaliana protein match is: plastocyanin 1 (TAIR:AT1G76100.1); Has 1286 Blast hits to 1278 proteins in 235 species: Archae - 146; Bacteria - 416; Metazoa - 0; Fungi - 2; Plants - 206; Viruses - 5; Other Eukaryotes - 511 (source: NCBI BLink).",PETE2,PLASTOCYANIN 2
